	region
1842x24701	0.0
2154x24521	0.0
6208x15368	1.0
6209x15727	1.0
6209x16086	1.0
6209x16445	1.0
5897x16625	1.0
6209x16804	1.0
5897x16983	1.0
6209x17163	1.0
5897x17342	1.0
6209x17522	1.0
6210x17880	1.0
6210x18239	1.0
6832x13574	1.0
6832x13933	1.0
6832x14292	1.0
6520x14471	1.0
6832x14650	1.0
6520x14830	1.0
6833x15009	1.0
6521x15189	1.0
6833x15368	1.0
6521x15548	1.0
6833x15727	1.0
6521x15907	1.0
6833x16086	1.0
6521x16265	1.0
6833x16445	1.0
6521x16624	1.0
6833x16804	1.0
6521x16983	1.0
6834x17162	1.0
6522x17342	1.0
6834x17521	1.0
6522x17701	1.0
6834x17880	1.0
6522x18060	1.0
6834x18239	1.0
6522x18419	1.0
6834x18598	1.0
6835x20033	0.0
6835x20392	0.0
6835x20751	0.0
6523x20931	0.0
6523x21289	0.0
6524x21648	0.0
6836x23263	0.0
6837x23622	0.0
6525x23801	0.0
6837x23981	0.0
6525x24160	0.0
6837x24340	0.0
6837x24698	0.0
6837x25057	0.0
6838x25416	0.0
7456x12497	1.0
7456x12856	1.0
7144x13035	1.0
7456x13215	1.0
7144x13394	1.0
7456x13574	1.0
7144x13753	1.0
7457x13932	1.0
7144x14112	1.0
7457x14291	1.0
7145x14471	1.0
7457x14650	1.0
7145x14830	1.0
7457x15009	1.0
7145x15189	1.0
7457x15368	1.0
7145x15547	1.0
7457x15727	1.0
7145x15906	1.0
7458x16086	1.0
7145x16265	1.0
7458x16444	1.0
7146x16624	1.0
7458x16803	1.0
7146x16983	1.0
7458x17162	1.0
7146x17342	1.0
7458x17521	1.0
7146x17701	1.0
7458x17880	1.0
7146x18059	1.0
7459x18239	1.0
7146x18418	1.0
7459x18956	0.0
7459x19315	0.0
7147x19495	0.0
7459x19674	0.0
7147x19854	0.0
7459x20033	0.0
7147x20213	0.0
7460x20392	0.0
7147x20571	0.0
7460x20751	0.0
7148x20930	0.0
7460x21110	0.0
7148x21289	0.0
7460x21468	0.0
7148x21648	0.0
7460x21827	0.0
7460x22186	0.0
7461x22545	0.0
7148x22725	0.0
7461x22904	0.0
7149x23083	0.0
7461x23263	0.0
7149x23442	0.0
7461x23622	0.0
7149x23801	0.0
7461x23980	0.0
7149x24160	0.0
7461x24339	0.0
7149x24519	0.0
7462x24698	0.0
7149x24878	0.0
7462x25057	0.0
7150x25237	0.0
7462x25416	0.0
8080x11061	1.0
8080x11420	1.0
8080x11779	1.0
7768x11959	1.0
8080x12138	1.0
7768x12317	1.0
8080x12497	1.0
7768x12676	1.0
8080x12856	1.0
7768x13035	1.0
8081x13214	1.0
7768x13394	1.0
8081x13573	1.0
7769x13753	1.0
8081x13932	1.0
7769x14112	1.0
8081x14291	1.0
7769x14471	1.0
8081x14650	1.0
7769x14829	1.0
8081x15009	1.0
7769x15188	1.0
8082x15368	1.0
7769x15547	1.0
8082x15726	1.0
7770x15906	1.0
8082x16085	1.0
7770x16265	1.0
8082x16444	1.0
7770x16624	1.0
8082x16803	1.0
7770x16983	1.0
8082x17162	1.0
7770x17341	1.0
8083x17521	1.0
7770x17700	1.0
8083x17880	1.0
7771x18059	1.0
8083x18238	0.0
7771x18418	1.0
8083x18597	0.0
7771x18777	0.0
8083x18956	0.0
7771x19136	0.0
8083x19315	0.0
7771x19495	0.0
8084x19674	0.0
7772x19853	0.0
8084x20033	0.0
7772x20212	0.0
8084x20392	0.0
7772x20571	0.0
8084x20750	0.0
7772x20930	0.0
8084x21109	0.0
7772x21289	0.0
8084x21468	0.0
7772x21648	0.0
8085x21827	0.0
7773x22007	0.0
8085x22186	0.0
7773x22365	0.0
8085x22545	0.0
7773x22724	0.0
8085x22904	0.0
7773x23083	0.0
8085x23262	0.0
7773x23442	0.0
8085x23621	0.0
7773x23801	0.0
8086x23980	0.0
7774x24160	0.0
8086x24339	0.0
7774x24519	0.0
8086x24698	0.0
7774x24877	0.0
8086x25057	0.0
7774x25236	0.0
8086x25416	0.0
8703x9984	1.0
8391x10164	1.0
8704x10343	1.0
8704x10702	1.0
8392x10882	1.0
8704x11061	1.0
8392x11241	1.0
8704x11420	1.0
8392x11599	1.0
8704x11779	1.0
8392x11958	1.0
8705x12138	1.0
8392x12317	1.0
8705x12496	1.0
8393x12676	1.0
8705x12855	1.0
8393x13035	1.0
8705x13214	1.0
8393x13394	1.0
8705x13573	1.0
8393x13753	1.0
8705x13932	1.0
8393x14111	1.0
8706x14291	1.0
8393x14470	1.0
8706x14650	1.0
8394x14829	1.0
8706x15008	1.0
8394x15188	1.0
8706x15367	1.0
8394x15547	1.0
8706x15726	1.0
8394x15906	1.0
8706x16085	1.0
8394x16265	1.0
8707x16444	1.0
8394x16623	1.0
8707x16803	1.0
8395x16982	1.0
8707x17162	1.0
8395x17341	1.0
8707x17520	1.0
8395x17700	1.0
8707x17879	0.0
8395x18059	0.0
8707x18238	0.0
8395x18418	0.0
8708x18597	0.0
8395x18777	0.0
8708x18956	0.0
8396x19135	0.0
8708x19315	0.0
8396x19494	0.0
8708x19674	0.0
8396x19853	0.0
8708x20032	0.0
8396x20212	0.0
8708x20391	0.0
8396x20571	0.0
8709x20750	0.0
8396x20930	0.0
8709x21109	0.0
