	region
6840x9187	0.0
6841x9552	0.0
8145x22328	1.0
8779x21596	1.0
8780x21961	1.0
8463x22145	1.0
8781x22326	1.0
8463x22510	1.0
8464x22875	1.0
8465x23240	1.0
8784x23422	1.0
8466x23605	1.0
8785x23787	1.0
8467x23970	1.0
8785x24152	1.0
8786x24517	1.0
8787x24882	1.0
8794x27438	0.0
8477x27621	0.0
8795x27803	0.0
9409x19769	1.0
9410x20134	1.0
9411x20499	1.0
9094x20682	1.0
9412x20864	1.0
9095x21048	1.0
9413x21229	1.0
9096x21413	1.0
9414x21594	1.0
9097x21778	1.0
9415x21960	1.0
9098x22143	1.0
9416x22325	1.0
9417x22690	1.0
9100x22873	1.0
9418x23055	1.0
9101x23238	1.0
9419x23420	1.0
9102x23603	1.0
9420x23785	1.0
9103x23969	1.0
9421x24150	1.0
9104x24334	1.0
9422x24515	1.0
9105x24699	1.0
9423x24880	1.0
9106x25064	1.0
9424x25246	1.0
9425x25611	1.0
9111x27255	0.0
9430x27436	0.0
9112x27620	0.0
9430x27801	0.0
10041x18307	1.0
10042x18672	1.0
9724x18855	1.0
10043x19037	1.0
9725x19220	1.0
10044x19402	1.0
9726x19585	1.0
10044x19767	1.0
9727x19951	1.0
10045x20132	1.0
9728x20316	1.0
10046x20497	1.0
9729x20681	1.0
10047x20862	1.0
9730x21046	1.0
10048x21228	1.0
9731x21411	1.0
10049x21593	1.0
9732x21776	1.0
10050x21958	1.0
9733x22141	1.0
10051x22323	1.0
9734x22506	1.0
10052x22688	1.0
9735x22871	1.0
10053x23053	1.0
9736x23237	1.0
10054x23418	1.0
9737x23602	1.0
10055x23783	1.0
9738x23967	1.0
10056x24149	1.0
9739x24332	1.0
10057x24514	1.0
9740x24697	1.0
10058x24879	1.0
9741x25062	1.0
10059x25244	1.0
9742x25427	1.0
10060x25609	1.0
9743x25792	1.0
10064x27069	0.0
9747x27253	0.0
10065x27435	0.0
9748x27618	0.0
10066x27800	0.0
10335x9360	0.0
10672x16844	1.0
10673x17210	1.0
10674x17575	1.0
10357x17758	1.0
10675x17940	1.0
10358x18123	1.0
10676x18305	1.0
10359x18488	1.0
10677x18670	1.0
10360x18853	1.0
10678x19035	1.0
10361x19219	1.0
10679x19400	1.0
10362x19584	1.0
10680x19765	1.0
10363x19949	1.0
10681x20131	1.0
10364x20314	1.0
10682x20496	1.0
10365x20679	1.0
10683x20861	1.0
10366x21044	1.0
10684x21226	1.0
10366x21409	1.0
10685x21591	1.0
10367x21774	1.0
10686x21956	1.0
10368x22140	1.0
10687x22321	1.0
10369x22505	1.0
10688x22686	1.0
10370x22870	1.0
10689x23051	1.0
10371x23235	1.0
10689x23417	1.0
10372x23600	1.0
10690x23782	1.0
10373x23965	1.0
10691x24147	1.0
10374x24330	1.0
10692x24512	1.0
10375x24695	1.0
10693x24877	1.0
10376x25060	1.0
10694x25242	1.0
10377x25426	1.0
10695x25607	1.0
10378x25791	1.0
10696x25972	1.0
10699x27068	0.0
10382x27251	0.0
10700x27433	0.0
10383x27616	0.0
10701x27798	0.0
11304x15747	1.0
11305x16113	1.0
10988x16296	1.0
11306x16478	1.0
10989x16661	1.0
11307x16843	1.0
10990x17026	1.0
11308x17208	1.0
10991x17391	1.0
11309x17573	1.0
10992x17756	1.0
11310x17938	1.0
10993x18122	1.0
11311x18303	1.0
10994x18487	1.0
11312x18668	1.0
10995x18852	1.0
11313x19033	1.0
10996x19217	1.0
11314x19399	1.0
10997x19582	1.0
11315x19764	1.0
10998x19947	1.0
11316x20129	1.0
10999x20312	1.0
11317x20494	1.0
11000x20677	1.0
11318x20859	1.0
11001x21042	1.0
11319x21224	1.0
11002x21408	1.0
11320x21589	1.0
11003x21773	1.0
11321x21954	1.0
11004x22138	1.0
11322x22320	1.0
11005x22503	1.0
11323x22685	1.0
11006x22868	1.0
11324x23050	1.0
11007x23233	1.0
11325x23415	1.0
11008x23598	1.0
11326x23780	1.0
11009x23963	1.0
11327x24145	1.0
11010x24329	1.0
11328x24510	1.0
11011x24694	1.0
11329x24875	1.0
11011x25059	1.0
11330x25241	1.0
11012x25424	1.0
11331x25606	1.0
11013x25789	1.0
11332x25971	0.0
11017x27250	0.0
11335x27431	0.0
11018x27615	0.0
11336x27796	0.0
11937x14650	1.0
11938x15015	1.0
11621x15199	1.0
11939x15381	1.0
11622x15564	1.0
11940x15746	1.0
11623x15929	1.0
11941x16111	1.0
11624x16294	1.0
11942x16476	1.0
11625x16659	1.0
11943x16841	1.0
11625x17024	1.0
11944x17206	1.0
11626x17390	1.0
11945x17571	1.0
11627x17755	1.0
11946x17936	1.0
11628x18120	1.0
11947x18302	1.0
11629x18485	1.0
11947x18667	1.0
11630x18850	1.0
11948x19032	1.0
11631x19215	1.0
11949x19397	1.0
11632x19580	1.0
11950x19762	1.0
11633x19945	1.0
11951x20127	1.0
11634x20311	1.0
11952x20492	1.0
11635x20676	1.0
11953x20857	1.0
11636x21041	1.0
11954x21223	1.0
11637x21406	1.0
11955x21588	1.0
11638x21771	1.0
11956x21953	1.0
11639x22136	1.0
11957x22318	1.0
11640x22501	1.0
11958x22683	1.0
11641x22866	1.0
11959x23048	1.0
11642x23232	1.0
11960x23413	1.0
11643x23597	1.0
11961x23778	1.0
11644x23962	1.0
11962x24143	1.0
11645x24327	1.0
11963x24509	1.0
11646x24692	1.0
11964x24874	1.0
11647x25057	1.0
11965x25239	1.0
11648x25422	1.0
11966x25604	0.0
11649x25787	1.0
11967x25969	0.0
11650x26152	0.0
11968x26334	0.0
11969x26699	0.0
11970x27064	0.0
11653x27248	0.0
11971x27430	0.0
11654x27613	0.0
11972x27795	0.0
12559x9537	0.0
12570x13918	1.0
12571x14284	1.0
12254x14467	1.0
12572x14649	1.0
12255x14832	1.0
12573x15014	1.0
12256x15197	1.0
12574x15379	1.0
12257x15562	1.0
12575x15744	1.0
12258x15927	1.0
12576x16109	1.0
12259x16293	1.0
12577x16474	1.0
12260x16658	1.0
12578x16839	1.0
12261x17023	1.0
12579x17205	1.0
12262x17388	1.0
12580x17570	1.0
12263x17753	1.0
12581x17935	1.0
12264x18118	1.0
